id,name,price,location,image,cuisine
140,Shae Aitcheson,900,892 Menomonie Center,http://dummyimage.com/150x100.png/cc0000/ffffff,Pizza
141,Madelyn Trengrove,1500,461 Anniversary Drive,http://dummyimage.com/211x100.png/ff4444/ffffff,Italian
142,Patrice Davis,1200,8 Moose Crossing,http://dummyimage.com/142x100.png/ff4444/ffffff,Desserts
143,Shae Tringham,800,5280 Beilfuss Alley,http://dummyimage.com/198x100.png/cc0000/ffffff,Cafe
144,Jeromy Kluss,1500,0087 Grim Place,http://dummyimage.com/132x100.png/5fa2dd/ffffff,Desserts
145,Isaiah Foulger,1500,843 Barnett Plaza,http://dummyimage.com/124x100.png/cc0000/ffffff,North Indian
146,Marlane Simeonov,2000,42 Oakridge Court,http://dummyimage.com/200x100.png/ff4444/ffffff,Mughlai
147,Grange Carles,1600,7 Packers Lane,http://dummyimage.com/112x100.png/5fa2dd/ffffff,Chinese
148,Berton Gloves,1300,7 Forster Hill,http://dummyimage.com/250x100.png/dddddd/000000,Fast Food
149,Lina Tsarovic,1000,28 Hoepker Drive,http://dummyimage.com/185x100.png/cc0000/ffffff,European
150,Ramsey Tretter,1500,9 Summer Ridge Way,http://dummyimage.com/215x100.png/5fa2dd/ffffff,Continental
151,Ewan Goaley,1500,30320 Browning Trail,http://dummyimage.com/239x100.png/dddddd/000000,Mediterranean
152,Mindy Killshaw,1200,98031 Knutson Crossing,http://dummyimage.com/146x100.png/cc0000/ffffff,European
153,Cicely Sinden,650,0 Bellgrove Crossing,http://dummyimage.com/178x100.png/dddddd/000000,Pizza
154,Ynes Consadine,1200,43428 Bartelt Parkway,http://dummyimage.com/176x100.png/dddddd/000000,Sushi
155,Jesse Pitcock,1000,65 Clemons Street,http://dummyimage.com/195x100.png/ff4444/ffffff,Burger
156,Alf Tumulty,1600,946 Dovetail Hill,http://dummyimage.com/166x100.png/dddddd/000000,Grill
157,Grady Derrington,800,23422 Knutson Parkway,http://dummyimage.com/180x100.png/dddddd/000000,Italian
158,Sanders Parsonson,1500,108 Vera Center,http://dummyimage.com/239x100.png/dddddd/000000,Mediterranean
159,Munmro Filde,1800,6 Banding Plaza,http://dummyimage.com/155x100.png/5fa2dd/ffffff,Salad
160,Gordie Carlo,1500,091 Green Ridge Terrace,http://dummyimage.com/147x100.png/ff4444/ffffff,North Indian
161,Hilliard Raycroft,1300,22451 Morrow Trail,http://dummyimage.com/245x100.png/cc0000/ffffff,Mughlai
162,Billy Wornham,1500,520 Waywood Drive,http://dummyimage.com/189x100.png/5fa2dd/ffffff,North Indian
163,Berke Grinnov,1500,143 Nancy Road,http://dummyimage.com/198x100.png/5fa2dd/ffffff,Chinese
164,Jamison Burtwhistle,1500,89 Sauthoff Place,http://dummyimage.com/231x100.png/cc0000/ffffff,Italian
165,Ursuline Aronstein,1400,17 Farmco Plaza,http://dummyimage.com/170x100.png/5fa2dd/ffffff,Mexican
166,Norean MacMickan,3000,4976 Ridgeway Circle,http://dummyimage.com/236x100.png/5fa2dd/ffffff,Continental
167,Retha Cummungs,1500,7237 Bunker Hill Plaza,http://dummyimage.com/163x100.png/dddddd/000000,Thai
168,Sidnee Minogue,1200,3227 Pond Avenue,http://dummyimage.com/138x100.png/ff4444/ffffff,Italian
169,Keelia MacKee,2000,0 Grasskamp Park,http://dummyimage.com/225x100.png/dddddd/000000,Mexican
170,Modestia Pautard,2400,63609 Bellgrove Hill,http://dummyimage.com/169x100.png/ff4444/ffffff,Mediterranean
171,Cory Reese,750,647 Valley Edge Street,http://dummyimage.com/136x100.png/5fa2dd/ffffff,Modern Indian
172,Kirsti Blainey,1200,94688 Loftsgordon Plaza,http://dummyimage.com/229x100.png/ff4444/ffffff,American
173,Briny Sampey,1400,37041 Hallows Alley,http://dummyimage.com/214x100.png/cc0000/ffffff,Continental
174,Gill Gonet,2000,049 Florence Junction,http://dummyimage.com/160x100.png/5fa2dd/ffffff,Italian
175,Lauritz Geddes,200,3 Pine View Hill,http://dummyimage.com/195x100.png/dddddd/000000,Finger Food
176,Raddy Holworth,800,569 Buena Vista Place,http://dummyimage.com/167x100.png/dddddd/000000,Cafe
177,Genevra Nattriss,700,8221 Melody Junction,http://dummyimage.com/122x100.png/5fa2dd/ffffff,Italian
178,De witt Whittock,1800,2 Charing Cross Hill,http://dummyimage.com/176x100.png/5fa2dd/ffffff,Salad
179,Dominique Edelheid,350,45121 Butternut Court,http://dummyimage.com/202x100.png/cc0000/ffffff,Desserts
180,Cullie Jeromson,1200,6300 Mccormick Park,http://dummyimage.com/191x100.png/cc0000/ffffff,Beverages
181,Mike Itzkowicz,1000,2025 Chinook Drive,http://dummyimage.com/196x100.png/cc0000/ffffff,Finger Food
182,Gill Climpson,1000,075 Novick Parkway,http://dummyimage.com/182x100.png/cc0000/ffffff,Thai
183,Hillyer Stockill,1800,27312 Pierstorff Way,http://dummyimage.com/133x100.png/cc0000/ffffff,Goan
184,Rene Russon,700,764 Tennyson Alley,http://dummyimage.com/239x100.png/dddddd/000000,Indian
185,Jerrie Endrighi,200,0550 Michigan Pass,http://dummyimage.com/225x100.png/ff4444/ffffff,Continental
186,Hildegarde Breede,1500,8072 Cottonwood Terrace,http://dummyimage.com/229x100.png/cc0000/ffffff,American
187,Gennifer Riquet,1500,8 Blackbird Center,http://dummyimage.com/150x100.png/ff4444/ffffff,North Eastern
188,Herminia Bleibaum,300,9 Bayside Place,http://dummyimage.com/219x100.png/dddddd/000000,Chinese
189,Justin Prop,1800,39 Canary Street,http://dummyimage.com/168x100.png/5fa2dd/ffffff,Finger Food
190,Kally Stout,1100,7169 Dovetail Pass,http://dummyimage.com/103x100.png/5fa2dd/ffffff,Cafe
191,Luke Vause,1200,3 Elka Parkway,http://dummyimage.com/110x100.png/cc0000/ffffff,American
192,Gwennie Bengtsen,650,01614 Express Circle,http://dummyimage.com/151x100.png/cc0000/ffffff,Desserts
193,Adriano Crambie,1700,44 Farmco Terrace,http://dummyimage.com/101x100.png/5fa2dd/ffffff,Continental
194,Blinny Howlings,3000,5671 Glacier Hill Park,http://dummyimage.com/171x100.png/5fa2dd/ffffff,American
195,Bret Rolf,2500,6156 Banding Terrace,http://dummyimage.com/210x100.png/dddddd/000000,Chinese
196,Cherrita Rowntree,1200,6866 Loftsgordon Drive,http://dummyimage.com/200x100.png/ff4444/ffffff,Mughlai
197,Julie Grahlmans,1600,6 Veith Way,http://dummyimage.com/201x100.png/ff4444/ffffff,Italian
198,Uriah Ortzen,2000,488 Ridge Oak Center,http://dummyimage.com/228x100.png/cc0000/ffffff,Mexican
199,Brandice Megany,1800,2 Mallard Drive,http://dummyimage.com/230x100.png/5fa2dd/ffffff,Italian
200,Johnna Gianullo,1600,672 Ridgeview Road,http://dummyimage.com/197x100.png/cc0000/ffffff,Finger Food
201,Marianne Broomhead,1900,09163 Warner Parkway,http://dummyimage.com/139x100.png/cc0000/ffffff,Greek
202,Chris Verrico,2500,44129 Schmedeman Lane,http://dummyimage.com/224x100.png/ff4444/ffffff,Finger Food
203,Rubi Castaner,800,182 Sherman Crossing,http://dummyimage.com/119x100.png/ff4444/ffffff,Continental
204,Adlai Slite,400,73 Donald Parkway,http://dummyimage.com/209x100.png/5fa2dd/ffffff,Sushi
205,Vania Mungham,1950,5705 Hallows Circle,http://dummyimage.com/112x100.png/ff4444/ffffff,Asian
206,Sharron Dronsfield,1500,287 Waywood Plaza,http://dummyimage.com/135x100.png/dddddd/000000,Chinese
207,Vance Aleshkov,1000,161 Golf Course Parkway,http://dummyimage.com/233x100.png/ff4444/ffffff,Thai
208,Andriana Lathbury,800,381 Donald Alley,http://dummyimage.com/234x100.png/5fa2dd/ffffff,Japanese
209,Fletch Provost,250,306 Stoughton Avenue,http://dummyimage.com/186x100.png/ff4444/ffffff,Parsi
210,Gunner Yeldham,1200,1 Westerfield Parkway,http://dummyimage.com/103x100.png/5fa2dd/ffffff,Iranian
211,Rolph Cucinotta,800,2 Carberry Parkway,http://dummyimage.com/213x100.png/dddddd/000000,Indian
212,Tremayne Sewart,1000,037 Holy Cross Place,http://dummyimage.com/110x100.png/5fa2dd/ffffff,North Indian
213,Brigida MacDonogh,1000,92365 Bartillon Crossing,http://dummyimage.com/196x100.png/cc0000/ffffff,Chinese
214,Sherlock D'Adamo,1200,51 Reindahl Terrace,http://dummyimage.com/188x100.png/5fa2dd/ffffff,Continental
215,Vilhelmina Speek,2000,03924 Warbler Road,http://dummyimage.com/162x100.png/cc0000/ffffff,Desserts
216,Fidelity Kezourec,550,3 Doe Crossing Junction,http://dummyimage.com/128x100.png/ff4444/ffffff,Salad
217,Cherish Frawley,1000,4316 Haas Trail,http://dummyimage.com/234x100.png/ff4444/ffffff,Healthy Food
218,Bernadette Alban,3000,8 Bunting Circle,http://dummyimage.com/241x100.png/dddddd/000000,Juices
219,Oriana Standidge,1650,39709 Kenwood Point,http://dummyimage.com/123x100.png/ff4444/ffffff,Chinese
220,Cesya Dabrowski,1600,42 John Wall Crossing,http://dummyimage.com/199x100.png/ff4444/ffffff,Cantonese
221,Francisco Mallia,1500,70605 Loomis Circle,http://dummyimage.com/166x100.png/5fa2dd/ffffff,Asian
222,Dirk Cogdon,1400,051 Rieder Center,http://dummyimage.com/231x100.png/ff4444/ffffff,Dim Sum
223,Russ Winfield,1000,5257 Russell Alley,http://dummyimage.com/141x100.png/5fa2dd/ffffff,American
224,Sarita Paling,2500,8 Muir Avenue,http://dummyimage.com/185x100.png/cc0000/ffffff,North Indian
225,Ludovico Barrasse,1000,19 Annamark Court,http://dummyimage.com/224x100.png/ff4444/ffffff,Asian
226,Marys Chesson,1500,0 Becker Pass,http://dummyimage.com/141x100.png/dddddd/000000,Finger Food
227,Cicely Werner,1000,03 Dovetail Terrace,http://dummyimage.com/112x100.png/5fa2dd/ffffff,North Indian
228,Bekki Leppo,700,45179 Schmedeman Center,http://dummyimage.com/190x100.png/cc0000/ffffff,Italian
229,Wilhelmina McIlwaine,1000,68 Porter Crossing,http://dummyimage.com/187x100.png/ff4444/ffffff,Finger Food
230,Quill Lavens,450,9 Rowland Avenue,http://dummyimage.com/139x100.png/dddddd/000000,Pizza
231,Staford Stops,500,5 Loeprich Road,http://dummyimage.com/154x100.png/5fa2dd/ffffff,Modern Indian
232,Mireielle Bawden,500,4 Mayfield Lane,http://dummyimage.com/101x100.png/dddddd/000000,North Indian
233,Kaylee Butner,500,54 Melvin Point,http://dummyimage.com/111x100.png/ff4444/ffffff,Continental
234,Willi Belchambers,1400,89 Lyons Crossing,http://dummyimage.com/210x100.png/cc0000/ffffff,Indian
235,Westleigh Pendleton,1400,2240 Golden Leaf Road,http://dummyimage.com/139x100.png/cc0000/ffffff,Fast Food
236,Juana Matityahu,1400,09124 Barby Place,http://dummyimage.com/111x100.png/cc0000/ffffff,Italian
237,Sibilla Luetkemeyer,1400,3121 Lillian Terrace,http://dummyimage.com/193x100.png/5fa2dd/ffffff,Beverages
238,Cariotta O'Collopy,1400,240 Sachtjen Drive,http://dummyimage.com/207x100.png/5fa2dd/ffffff,Mexican
239,Abbie Cossar,1400,41 Pepper Wood Pass,http://dummyimage.com/211x100.png/cc0000/ffffff,Italian
240,Hamlen Goodnow,400,8 8th Lane,http://dummyimage.com/209x100.png/5fa2dd/ffffff,North Indian
241,Ebenezer Blaxall,850,65276 Oxford Way,http://dummyimage.com/122x100.png/cc0000/ffffff,Japanese
242,Chevy Taberer,1300,90215 5th Road,http://dummyimage.com/192x100.png/ff4444/ffffff,Asian
243,Aggie Linner,1500,82699 Amoth Parkway,http://dummyimage.com/180x100.png/cc0000/ffffff,Modern Indian
244,Bertine Biers,1700,4 Mockingbird Pass,http://dummyimage.com/103x100.png/ff4444/ffffff,Finger Food
245,Jacquetta Purle,1700,2427 Oneill Lane,http://dummyimage.com/123x100.png/dddddd/000000,Modern Indian
246,Sena Lattos,2500,145 Loeprich Drive,http://dummyimage.com/177x100.png/ff4444/ffffff,North Indian
247,Delila Dailey,1600,8 Moulton Point,http://dummyimage.com/164x100.png/dddddd/000000,Mexican
248,Joelie Gatty,1300,3 Jackson Junction,http://dummyimage.com/217x100.png/cc0000/ffffff,Italian
249,Steward Burdus,300,9 Bonner Trail,http://dummyimage.com/212x100.png/cc0000/ffffff,Continental
250,Carlina McGriffin,1000,7 Melvin Crossing,http://dummyimage.com/222x100.png/ff4444/ffffff,European
251,Isadore Grigoire,1300,94 Nevada Place,http://dummyimage.com/106x100.png/5fa2dd/ffffff,Pizza
